Solution,Latitude,Longitude,Type
0,30.080174,-94.1265562,Manufacturing
0,32.5159852,-93.7321228,Manufacturing
0,39.8083196,-104.9338675,Manufacturing
0,32.8140177,-96.9488945,Manufacturing
0,43.6121087,-116.3915131,Manufacturing
0,45.5230622,-122.6764816,Manufacturing
0,37.654656,-122.4077498,Manufacturing
0,33.8886259,-117.8131125,Manufacturing
1,32.7667955,-96.5991593,Manufacturing
2,35.8422967,-90.704279,Manufacturing
2,32.5920798,-96.7561082,Manufacturing
2,35.9606384,-83.9207392,Cryopreservation
2,41.7369803,-111.8338359,Cryopreservation
3,30.080174,-94.1265562,Manufacturing
3,42.0697509,-87.7878408,Manufacturing
3,45.5230622,-122.6764816,Manufacturing
3,37.5629917,-122.3255254,Manufacturing
3,32.3512601,-95.3010624,Manufacturing
3,40.7878788,-74.0143064,Manufacturing
3,33.8886259,-117.8131125,Manufacturing
4,42.0697509,-87.7878408,Manufacturing
4,35.8422967,-90.704279,Manufacturing
4,43.5407172,-116.5634624,Manufacturing
4,34.769536,-92.2670941,Manufacturing
5,34.2284312,-92.0031955,Manufacturing
6,32.5159852,-93.7321228,Manufacturing
6,39.8083196,-104.9338675,Manufacturing
6,42.0697509,-87.7878408,Manufacturing
6,32.8140177,-96.9488945,Manufacturing
6,35.8422967,-90.704279,Manufacturing
6,43.5407172,-116.5634624,Manufacturing
6,34.769536,-92.2670941,Manufacturing
6,37.654656,-122.4077498,Manufacturing
6,33.8886259,-117.8131125,Manufacturing
7,30.080174,-94.1265562,Manufacturing
7,33.0145673,-97.0969552,Manufacturing
7,45.5230622,-122.6764816,Manufacturing
7,30.4382559,-84.2807329,Manufacturing
8,35.8422967,-90.704279,Manufacturing
8,34.7464809,-92.2895948,Manufacturing
8,43.5407172,-116.5634624,Manufacturing
8,35.9606384,-83.9207392,Cryopreservation
9,42.0697509,-87.7878408,Manufacturing
9,32.8140177,-96.9488945,Manufacturing
9,34.769536,-92.2670941,Manufacturing
9,40.7878788,-74.0143064,Manufacturing
10,35.8422967,-90.704279,Manufacturing
11,28.6611089,-81.3656242,Manufacturing
11,30.080174,-94.1265562,Manufacturing
11,43.6187102,-116.2146068,Manufacturing
11,33.9166805,-117.9000604,Manufacturing
11,45.5230622,-122.6764816,Manufacturing
11,37.654656,-122.4077498,Manufacturing
12,42.0697509,-87.7878408,Manufacturing
12,35.8422967,-90.704279,Manufacturing
12,34.7464809,-92.2895948,Manufacturing
13,34.5008311,-117.1858759,Manufacturing
13,35.9606384,-83.9207392,Cryopreservation
14,45.5230622,-122.6764816,Manufacturing
15,32.6789476,-115.4988834,Manufacturing
15,35.9606384,-83.9207392,Cryopreservation
16,35.8422967,-90.704279,Manufacturing
16,35.9606384,-83.9207392,Cryopreservation
16,41.7369803,-111.8338359,Cryopreservation
17,32.9545687,-97.0150078,Manufacturing
17,33.8752935,-117.5664384,Manufacturing
17,41.7798226,-71.4372796,Manufacturing
17,41.5933696,-87.3464271,Manufacturing
17,34.1425078,-118.255075,Manufacturing
17,38.5767017,-92.1735164,Manufacturing
17,41.6661573,-81.339552,Manufacturing
17,40.7933949,-77.8600012,Manufacturing
17,30.4382559,-84.2807329,Manufacturing
17,36.2077288,-119.3473379,Manufacturing
17,33.7458511,-117.826166,Manufacturing
17,38.3565773,-121.9877444,Manufacturing
17,41.7369803,-111.8338359,Cryopreservation
18,33.8752935,-117.5664384,Manufacturing
18,41.7798226,-71.4372796,Manufacturing
18,35.8422967,-90.704279,Manufacturing
18,32.5920798,-96.7561082,Manufacturing
18,41.6661573,-81.339552,Manufacturing
18,33.7458511,-117.826166,Manufacturing
18,38.3565773,-121.9877444,Manufacturing
19,28.6611089,-81.3656242,Manufacturing
19,30.080174,-94.1265562,Manufacturing
19,43.6187102,-116.2146068,Manufacturing
19,32.5159852,-93.7321228,Manufacturing
19,33.9166805,-117.9000604,Manufacturing
19,43.6121087,-116.3915131,Manufacturing
19,45.5230622,-122.6764816,Manufacturing
19,37.654656,-122.4077498,Manufacturing
19,33.8886259,-117.8131125,Manufacturing
20,32.7667955,-96.5991593,Manufacturing
20,45.5230622,-122.6764816,Manufacturing
21,35.8422967,-90.704279,Manufacturing
21,35.9606384,-83.9207392,Cryopreservation
22,34.2284312,-92.0031955,Manufacturing
22,40.7878788,-74.0143064,Manufacturing
23,34.2284312,-92.0031955,Manufacturing
23,40.7878788,-74.0143064,Manufacturing
23,35.8422967,-90.704279,Cryopreservation
24,34.5008311,-117.1858759,Manufacturing
24,35.8422967,-90.704279,Manufacturing
24,43.5407172,-116.5634624,Manufacturing
24,35.9606384,-83.9207392,Cryopreservation
25,34.5008311,-117.1858759,Manufacturing
25,35.8422967,-90.704279,Manufacturing
25,43.5407172,-116.5634624,Manufacturing
25,35.9606384,-83.9207392,Cryopreservation
25,40.6936488,-89.5889864,Cryopreservation
26,35.8422967,-90.704279,Manufacturing
26,31.549333,-97.1466695,Manufacturing
27,30.080174,-94.1265562,Manufacturing
27,32.5159852,-93.7321228,Manufacturing
27,39.8083196,-104.9338675,Manufacturing
27,34.4263886,-117.3008784,Manufacturing
27,32.8140177,-96.9488945,Manufacturing
27,43.6121087,-116.3915131,Manufacturing
27,45.5230622,-122.6764816,Manufacturing
27,37.654656,-122.4077498,Manufacturing
27,33.8886259,-117.8131125,Manufacturing
28,33.425125,-94.0476882,Manufacturing
29,32.5920798,-96.7561082,Manufacturing
29,34.9889818,-90.0125913,Manufacturing
30,30.080174,-94.1265562,Manufacturing
30,42.0697509,-87.7878408,Manufacturing
30,45.5230622,-122.6764816,Manufacturing
30,37.5629917,-122.3255254,Manufacturing
30,33.7458511,-117.826166,Manufacturing
30,32.3512601,-95.3010624,Manufacturing
30,40.7878788,-74.0143064,Manufacturing
30,35.8422967,-90.704279,Cryopreservation
31,30.080174,-94.1265562,Manufacturing
31,42.0697509,-87.7878408,Manufacturing
31,45.5230622,-122.6764816,Manufacturing
31,37.5629917,-122.3255254,Manufacturing
31,33.7458511,-117.826166,Manufacturing
31,32.3512601,-95.3010624,Manufacturing
31,40.7878788,-74.0143064,Manufacturing
31,36.3955891,-97.8783911,Cryopreservation
31,35.8422967,-90.704279,Cryopreservation
32,42.0697509,-87.7878408,Manufacturing
32,35.8422967,-90.704279,Manufacturing
32,43.5407172,-116.5634624,Manufacturing
32,34.9889818,-90.0125913,Manufacturing
33,42.0697509,-87.7878408,Manufacturing
33,35.8422967,-90.704279,Manufacturing
33,43.5407172,-116.5634624,Manufacturing
33,34.9889818,-90.0125913,Manufacturing
33,35.9606384,-83.9207392,Cryopreservation
34,33.9898188,-117.7325848,Manufacturing
34,32.9545687,-97.0150078,Manufacturing
34,41.5933696,-87.3464271,Manufacturing
34,30.4382559,-84.2807329,Manufacturing
34,39.9625984,-76.727745,Manufacturing
35,33.9898188,-117.7325848,Manufacturing
35,32.9545687,-97.0150078,Manufacturing
35,41.5933696,-87.3464271,Manufacturing
35,30.4382559,-84.2807329,Manufacturing
35,39.9625984,-76.727745,Manufacturing
35,36.3955891,-97.8783911,Cryopreservation
36,33.9898188,-117.7325848,Manufacturing
36,32.9545687,-97.0150078,Manufacturing
36,41.5933696,-87.3464271,Manufacturing
36,30.4382559,-84.2807329,Manufacturing
36,39.9625984,-76.727745,Manufacturing
36,36.3955891,-97.8783911,Cryopreservation
36,41.7369803,-111.8338359,Cryopreservation
37,32.5159852,-93.7321228,Manufacturing
37,39.8083196,-104.9338675,Manufacturing
37,42.0697509,-87.7878408,Manufacturing
37,32.8140177,-96.9488945,Manufacturing
37,43.5407172,-116.5634624,Manufacturing
37,34.769536,-92.2670941,Manufacturing
37,37.654656,-122.4077498,Manufacturing
37,33.8886259,-117.8131125,Manufacturing
38,32.5159852,-93.7321228,Manufacturing
38,39.8083196,-104.9338675,Manufacturing
38,42.0697509,-87.7878408,Manufacturing
38,32.8140177,-96.9488945,Manufacturing
38,43.5407172,-116.5634624,Manufacturing
38,34.769536,-92.2670941,Manufacturing
38,37.654656,-122.4077498,Manufacturing
38,33.8886259,-117.8131125,Manufacturing
38,35.9606384,-83.9207392,Cryopreservation
39,32.5159852,-93.7321228,Manufacturing
39,39.8083196,-104.9338675,Manufacturing
39,42.0697509,-87.7878408,Manufacturing
39,32.8140177,-96.9488945,Manufacturing
39,43.5407172,-116.5634624,Manufacturing
39,34.769536,-92.2670941,Manufacturing
39,37.654656,-122.4077498,Manufacturing
39,33.8886259,-117.8131125,Manufacturing
39,36.3955891,-97.8783911,Cryopreservation
39,35.9606384,-83.9207392,Cryopreservation
40,35.8422967,-90.704279,Manufacturing
40,43.5407172,-116.5634624,Manufacturing
40,35.9606384,-83.9207392,Cryopreservation
41,38.5200504,-89.9839935,Manufacturing
42,38.5200504,-89.9839935,Manufacturing
